"ID","METHOD_CLASS"
"6xt6","x-ray"
"1g2w","x-ray"
"6bsm","x-ray"
"6s73","x-ray"
"4ffh","x-ray"
"4jo0","x-ray"
"6cc4","x-ray"
"5k87","x-ray"
"4r43","x-ray"
"4p4g","x-ray"
"7cxz","x-ray"
"4ipi","x-ray"
"4xju","x-ray"
"7ev6","x-ray"
"5yb9","x-ray"
"1wa4","x-ray"
"4knj","x-ray"
"6ofd","x-ray"
"1nby","x-ray"
"1aoc","x-ray"
"5v44","x-ray"
"6qcs","em"
"1f7y","x-ray"
"1va3","nmr"
"2nsy","x-ray"
"1re6","nmr"
"3h66","x-ray"
"4kh4","x-ray"
"1wl0","x-ray"
"4msi","x-ray"
"4do7","x-ray"
"6fka","x-ray"
"6ezg","x-ray"
"1ue7","x-ray"
"4ru4","x-ray"
"1cv8","x-ray"
"4dmu","x-ray"
"3r61","x-ray"
"7uwt","x-ray"
"5xld","x-ray"
"1ztd","x-ray"
"2g70","x-ray"
"7pzn","em"
"2rcu","x-ray"
"3gbt","x-ray"
"4f0u","x-ray"
"5ltc","x-ray"
"2zxw","x-ray"
"5ux1","x-ray"
"2luo","nmr"
"1ttl","nmr"
"2qrs","x-ray"
"6iou","x-ray"
"7fig","em"
"3l5v","x-ray"
"3ejz","x-ray"
"105d","nmr"
"6le0","x-ray"
"4ygh","x-ray"
"7m19","em"
"4g6x","x-ray"
"3lk4","x-ray"
"5ynu","x-ray"
"7asc","x-ray"
"5az7","x-ray"
"4zwe","x-ray"
"4lzo","x-ray"
"5v7e","x-ray"
"1mdy","x-ray"
"6ib8","x-ray"
"1jxn","x-ray"
"2ei1","x-ray"
"6bfb","x-ray"
"4ii8","x-ray"
"4h9n","x-ray"
"2xnf","nmr"
"6ifh","x-ray"
"1zhb","x-ray"
"1r0i","x-ray"
"3rzl","x-ray"
"6vph","x-ray"
"6nmd","em"
"5ndh","x-ray"
"5e4z","x-ray"
"7b3k","nmr"
"1bib","x-ray"
"4p5y","x-ray"
"7s6s","x-ray"
"6v7w","x-ray"
"4u3z","x-ray"
"3oje","x-ray"
"2q7a","x-ray"
"1qwl","x-ray"
"3vwb","x-ray"
"4c06","x-ray"
"3tid","x-ray"
"2m5m","hybrid"
"3n65","x-ray"
"2a88","x-ray"
"3uu4","x-ray"
"4rbl","x-ray"
"3wnv","x-ray"
"4rkc","x-ray"
"1hns","nmr"
"7cly","x-ray"
"4uch","x-ray"
"2v7x","x-ray"
"4pj9","x-ray"
"1f5t","x-ray"
"2khd","nmr"
"1f3o","x-ray"
"5gm9","x-ray"
