"ID","METHOD_CLASS"
"1w8b","x-ray"
"3wiv","x-ray"
"7esz","x-ray"
"2xko","x-ray"
"2nrs","x-ray"
"4q62","x-ray"
"4dgh","x-ray"
"1us7","x-ray"
"6jz1","x-ray"
"3ri8","x-ray"
"1iy8","x-ray"
"7t47","x-ray"
"4fg7","x-ray"
"5lt4","x-ray"
"6wpq","x-ray"
"6f0f","x-ray"
"6zr1","x-ray"
"5lo4","nmr"
"1bq2","x-ray"
"2sns","x-ray"
"7bi4","x-ray"
"5tav","em"
"7qaw","x-ray"
"2abi","x-ray"
"3rcc","x-ray"
"3akh","x-ray"
"6xz3","x-ray"
"1j3a","x-ray"
"4yr8","x-ray"
"3p1q","x-ray"
"4v99","x-ray"
"4cg6","em"
"6ul5","x-ray"
"1ybg","x-ray"
"5e10","x-ray"
"2xo4","x-ray"
"6sjt","x-ray"
"2hb7","x-ray"
"4izq","x-ray"
"3fk9","x-ray"
"4j4u","x-ray"
"2ev0","x-ray"
"5lwv","x-ray"
"4yig","x-ray"
"5hfr","x-ray"
"1cgw","x-ray"
"5w23","x-ray"
"6l01","x-ray"
"4s0o","x-ray"
"3n5c","x-ray"
"3h0u","x-ray"
"1jqo","x-ray"
"5je0","x-ray"
"3iu6","x-ray"
"4npt","x-ray"
"3amy","x-ray"
"6ka1","x-ray"
"3b4u","x-ray"
"4mpr","x-ray"
"3plw","x-ray"
"3zpv","x-ray"
"1eqy","x-ray"
"2mdc","nmr"
"1n1x","x-ray"
"6w3q","x-ray"
"6wj8","x-ray"
"3uk3","x-ray"
"2kys","nmr"
"4q0o","x-ray"
"2pcp","x-ray"
"5q8g","x-ray"
"7jh4","x-ray"
"4hzn","x-ray"
"3pix","x-ray"
"4hau","x-ray"
"1lae","nmr"
"5r4t","x-ray"
"4d7i","x-ray"
"6ah9","x-ray"
"5i3v","x-ray"
"5r4h","x-ray"
"5p9y","x-ray"
"7a0h","x-ray"
"7nbs","x-ray"
"3x3c","x-ray"
"4q73","x-ray"
"1ffb","x-ray"
"7p6g","x-ray"
"7nif","x-ray"
"2vvs","x-ray"
"4g8j","x-ray"
"1bh7","nmr"
"1xop","nmr"
"1ei5","x-ray"
"1hn4","x-ray"
"3g61","x-ray"
"6hyi","x-ray"
"2ioc","x-ray"
"4ozn","x-ray"
"5xum","x-ray"
"5y8x","x-ray"
"4b5u","x-ray"
"6sjq","x-ray"
"6dr1","x-ray"
"6uqy","x-ray"
"5f4e","x-ray"
"7n1k","x-ray"
"1hj1","x-ray"
"7fd1","x-ray"
"7cz6","em"
"41bi","x-ray"
"5lrt","x-ray"
"7dv7","x-ray"
"6y4h","nmr"
"1hbp","x-ray"
"3o6q","x-ray"
"2gnp","x-ray"
"3mqz","x-ray"
"4qb5","x-ray"
"6hdt","x-ray"
"1y7f","x-ray"
"4d7j","x-ray"
"3o0m","x-ray"
"5pyt","x-ray"
"6tgy","em"
"6isb","x-ray"
"3ot4","x-ray"
"3o4t","x-ray"
"2w8q","x-ray"
"3g3r","x-ray"
"2qxj","x-ray"
"1tr2","x-ray"
"6d0g","x-ray"
"3iin","x-ray"
"5jdm","x-ray"
"6tmh","em"
"1esb","x-ray"
"1jlp","nmr"
"7nlw","x-ray"
"3mrx","x-ray"
"4rz9","x-ray"
"5oo9","x-ray"
"6hft","x-ray"
"1ehx","nmr"
"3c84","x-ray"
"5cg0","x-ray"
"1no9","x-ray"
"4ea2","x-ray"
"4g2y","x-ray"
"1exw","x-ray"
"6dlz","em"
"1e2o","x-ray"
"7m11","x-ray"
"4qmc","x-ray"
"2dp6","x-ray"
"5u4m","x-ray"
"7ecp","x-ray"
"6ho2","x-ray"
"3djh","x-ray"
"2wwu","x-ray"
"1fhz","x-ray"
"6rsh","x-ray"
"5q3j","x-ray"
"1m77","x-ray"
"2eio","x-ray"
"3heb","x-ray"
"1ofi","x-ray"
"5zl5","x-ray"
"3vgl","x-ray"
"1rib","x-ray"
"7vbe","x-ray"
"6rf3","x-ray"
"2o8b","x-ray"
"6zu0","x-ray"
"5t83","x-ray"
"4pru","x-ray"
"3q11","x-ray"
"4d9i","x-ray"
"3gj2","x-ray"
"6eed","x-ray"
"2bff","x-ray"
"3c04","x-ray"
"5fks","x-ray"
"4yug","x-ray"
"6bk7","x-ray"
"4h81","x-ray"
"7z2p","x-ray"
"1yy4","x-ray"
"6oen","em"
"4u2m","x-ray"
"4ac8","x-ray"
"5fh5","x-ray"
"3of0","x-ray"
"3cpw","x-ray"
"7nc2","x-ray"
"5alv","x-ray"
"6mhp","x-ray"
"6tt9","x-ray"
"2v8q","x-ray"
"1rk4","x-ray"
"2bc8","nmr"
"2zth","x-ray"
"1pzx","x-ray"
"6nif","x-ray"
"4a4o","x-ray"
"2xzl","x-ray"
"1mx4","x-ray"
"3rup","x-ray"
"4pmw","x-ray"
"6qiv","x-ray"
"6rma","x-ray"
"6b1h","x-ray"
"6k0n","x-ray"
"5re7","x-ray"
"6rg9","x-ray"
"7dao","x-ray"
"3u08","x-ray"
"5zjg","x-ray"
"4psr","x-ray"
"5wlx","nmr"
"4nni","x-ray"
"5w7v","em"
"5wiq","x-ray"
"1ut3","nmr"
"5lyg","x-ray"
"1chm","x-ray"
"4j1g","x-ray"
"4e85","x-ray"
"1t44","x-ray"
"1lza","x-ray"
"7vab","em"
"220l","x-ray"
"2qas","x-ray"
"5jxd","x-ray"
"5zi0","x-ray"
"5ke6","x-ray"
"5e0r","x-ray"
"5ipt","em"
"5dx1","x-ray"
"5iic","x-ray"
"1z92","x-ray"
"2ows","x-ray"
"4m9g","x-ray"
"5v42","x-ray"
"7ci9","x-ray"
"3p11","x-ray"
"5pq2","x-ray"
"5qib","x-ray"
"2y6l","x-ray"
"1rsd","x-ray"
"4mk5","x-ray"
"5b86","x-ray"
"2r63","nmr"
"5q5b","x-ray"
"3h6d","x-ray"
"2czq","x-ray"
"5jih","x-ray"
"6wxx","x-ray"
"1sv6","x-ray"
"5dxj","x-ray"
"2zfg","x-ray"
"3qi3","x-ray"
"6dqb","x-ray"
"7sn1","x-ray"
"6oss","x-ray"
"5zsn","x-ray"
"5vwk","x-ray"
"3osa","x-ray"
"4q8b","x-ray"
"5igt","x-ray"
"1mpt","x-ray"
"6xqr","x-ray"
"2wwc","x-ray"
"6aax","x-ray"
"3w10","x-ray"
"6kln","em"
"4h2p","x-ray"
"5z00","x-ray"
"1zbh","x-ray"
"2mg3","nmr"
"4kqh","x-ray"
"8pch","x-ray"
"5xv0","x-ray"
"6tft","x-ray"
"2mmx","nmr"
"5vld","x-ray"
"7lo5","em"
"3vuk","x-ray"
"6bjm","x-ray"
"4p1o","x-ray"
"6dll","x-ray"
"2vns","x-ray"
"7kh0","em"
"5o2x","x-ray"
"4kwm","x-ray"
"7rtv","em"
"2xix","x-ray"
"7vko","x-ray"
"3e8l","x-ray"
"6jon","x-ray"
"6foy","x-ray"
"2jm0","nmr"
"4ejs","x-ray"
"1uim","x-ray"
"4es3","x-ray"
"4tyl","x-ray"
"3lxd","x-ray"
"4rih","x-ray"
"7urs","x-ray"
"7k99","x-ray"
"5j7a","x-ray"
"7d4c","x-ray"
"1lv3","nmr"
"6dhi","x-ray"
"4qa0","x-ray"
"2kih","nmr"
"5fbm","x-ray"
"3uyl","x-ray"
"4io6","x-ray"
"1shy","x-ray"
"1kdl","nmr"
"1fk9","x-ray"
"3r48","x-ray"
"5wa2","x-ray"
"2pyr","x-ray"
"4de6","x-ray"
"3nsx","x-ray"
"6apy","x-ray"
"6tej","x-ray"
"5nq3","x-ray"
"1u6l","x-ray"
"2xo6","x-ray"
"3ipn","x-ray"
"4jix","x-ray"
"4ade","x-ray"
"6ucz","x-ray"
"6vhz","x-ray"
"2xw0","x-ray"
"7uxo","x-ray"
"6nag","x-ray"
"4po4","x-ray"
"3oga","x-ray"
"4mda","x-ray"
"6f23","x-ray"
"3fb0","x-ray"
"1gmx","x-ray"
"5d78","x-ray"
"4njv","x-ray"
"1ww9","x-ray"
"7lza","x-ray"
"7k7g","em"
"7unr","em"
"1kqd","x-ray"
"2gbu","x-ray"
"4dh8","x-ray"
"3l9d","x-ray"
"6e7j","x-ray"
"2ark","x-ray"
"5dmx","x-ray"
"2vh9","x-ray"
"3s61","x-ray"
"6ke5","x-ray"
"4r8t","x-ray"
"1r4o","x-ray"
"2bhm","x-ray"
"5ur2","x-ray"
"1sax","x-ray"
"4bs7","x-ray"
"3qyd","x-ray"
"2q0b","x-ray"
"1teu","x-ray"
"4bao","x-ray"
"5f9e","x-ray"
"1ikg","x-ray"
"5duk","x-ray"
"1x1f","nmr"
"6zdf","x-ray"
"2qcd","x-ray"
"5da4","x-ray"
"6x68","em"
"6yss","em"
"7w2x","x-ray"
"6lb3","x-ray"
"2cxa","x-ray"
"4qnu","x-ray"
"4jnc","x-ray"
"2nn8","x-ray"
"5kv0","x-ray"
"6pkq","em"
"5umk","x-ray"
"1l6s","x-ray"
"4wfh","x-ray"
"4p3r","x-ray"
"1uip","x-ray"
"6f60","x-ray"
"1mf5","x-ray"
"1z6r","x-ray"
"7edz","x-ray"
"2bca","nmr"
"4mxa","x-ray"
"5liq","x-ray"
"2d0h","x-ray"
"3st7","x-ray"
"4d30","x-ray"
"6f6a","x-ray"
"3hg6","x-ray"
"6c30","x-ray"
"4x2l","x-ray"
"2ykn","x-ray"
"6qsx","x-ray"
"3quf","x-ray"
"6n8n","em"
"6v22","em"
"3ij4","x-ray"
"4cf9","x-ray"
"7vci","em"
"2nmm","x-ray"
"4rk2","x-ray"
"2roz","nmr"
"2q4y","x-ray"
"7api","x-ray"
"7e3o","x-ray"
"2kt2","nmr"
"5y91","x-ray"
"4jx9","x-ray"
"3noi","x-ray"
"3sl8","x-ray"
"5zwh","x-ray"
"1hm6","x-ray"
"1cfr","x-ray"
"1jo5","nmr"
"5xvq","x-ray"
"1j9q","x-ray"
"2vzg","x-ray"
"1q0n","x-ray"
"3af9","x-ray"
"3byt","x-ray"
"6wh5","x-ray"
"5f0g","x-ray"
"3bh0","x-ray"
"1cig","x-ray"
"4fsf","x-ray"
"5r9n","x-ray"
"6jmf","x-ray"
"7t7k","x-ray"
"3wvy","x-ray"
"4i7a","x-ray"
"6iai","x-ray"
"6ld0","x-ray"
"6tac","x-ray"
"1bsr","x-ray"
"4cm1","x-ray"
"5v2d","x-ray"
"5oju","x-ray"
"2k8s","nmr"
"7biy","x-ray"
"6bua","em"
"2f9h","x-ray"
"2k9c","nmr"
"4xtv","x-ray"
"1bnp","nmr"
"4mam","x-ray"
"6mh5","x-ray"
"5k7f","x-ray"
"5wy0","x-ray"
"2r10","x-ray"
"5jum","x-ray"
"3mew","x-ray"
"2rji","x-ray"
"7jzz","em"
"6t55","x-ray"
"1p9x","x-ray"
"2l4a","nmr"
"1gu8","x-ray"
"3ptj","x-ray"
"4fmu","x-ray"
"6lit","x-ray"
"7orb","x-ray"
"3iiq","x-ray"
"4flq","x-ray"
"5zx8","x-ray"
"4nbn","x-ray"
"2hvq","x-ray"
"4xe9","x-ray"
"2bbb","x-ray"
"2fok","x-ray"
"4cql","x-ray"
"4pzk","x-ray"
"2l3g","nmr"
"4b2z","x-ray"
"4egg","x-ray"
"4c8d","x-ray"
"2ggf","nmr"
"5tff","x-ray"
"3f7o","x-ray"
"3maj","x-ray"
"7eu2","x-ray"
"7lfe","x-ray"
"4acp","x-ray"
"2zp5","x-ray"
"6wwe","em"
"5inq","x-ray"
"2mla","nmr"
"2qct","x-ray"
"7e83","em"
"4aw4","x-ray"
"1xt4","x-ray"
"2w3b","x-ray"
"6pkt","em"
"1i9i","x-ray"
"7bpi","x-ray"
"6xrb","x-ray"
"6lyr","x-ray"
"3blx","x-ray"
"5ivw","em"
"5vf4","x-ray"
"2mh4","nmr"
"2mp5","nmr"
"1gsq","x-ray"
"3zx2","x-ray"
"2g08","x-ray"
"2guh","x-ray"
"4bor","em"
"5zrp","x-ray"
"4dlp","x-ray"
"4nsx","x-ray"
"4gla","x-ray"
"5l1x","x-ray"
"3tt4","x-ray"
"1wuo","x-ray"
"4lop","x-ray"
"1oko","x-ray"
"4jjm","x-ray"
"6piz","x-ray"
"1fqo","x-ray"
"5txi","x-ray"
"6wyt","x-ray"
"7stk","em"
"7atv","x-ray"
"3rgd","x-ray"
"6k0f","x-ray"
"2f1j","x-ray"
"6sbh","x-ray"
"2e40","x-ray"
"2kxt","nmr"
"1kfo","x-ray"
"5jxh","x-ray"
"1mld","x-ray"
"2pq5","x-ray"
"7bjo","x-ray"
"2y22","x-ray"
"1p6r","nmr"
"1e22","x-ray"
"1vgi","x-ray"
"6eyb","x-ray"
"3jz6","x-ray"
"1azr","x-ray"
"3wi0","x-ray"
"3ufk","x-ray"
"3vkg","x-ray"
"2gx6","x-ray"
"5vyb","x-ray"
"1k3a","x-ray"
"1kbm","nmr"
"4ith","x-ray"
"6wsl","em"
"7dft","x-ray"
"1kz2","nmr"
"2y6y","x-ray"
"5wc2","x-ray"
"3zpj","x-ray"
"1pne","x-ray"
"1pnt","x-ray"
"5wts","x-ray"
"1g11","nmr"
"7alo","x-ray"
"5qjk","x-ray"
"1ash","x-ray"
"4bqs","x-ray"
"6g0f","x-ray"
"4axu","x-ray"
"1dl0","nmr"
"5yp5","x-ray"
"5knk","x-ray"
"6n8l","em"
"6r2e","x-ray"
"1hz3","nmr"
"4bk4","x-ray"
"2yip","x-ray"
"5ygk","x-ray"
"2f7n","x-ray"
"3vke","x-ray"
"2mys","x-ray"
"5y7q","x-ray"
"3gkw","x-ray"
"6mib","x-ray"
"4p96","x-ray"
"3mbi","x-ray"
"1h3q","x-ray"
"4o4j","x-ray"
"4fzz","x-ray"
"4lwi","x-ray"
"4bwk","x-ray"
"1gky","x-ray"
"3d47","x-ray"
"2pby","x-ray"
"2bjh","x-ray"
"3w1l","x-ray"
"5ipc","x-ray"
"2nz2","x-ray"
"5wbk","x-ray"
"5t5i","x-ray"
"6mbo","x-ray"
"5zql","x-ray"
"3dwo","x-ray"
"5ae1","x-ray"
"6gtl","x-ray"
"4q26","x-ray"
"4jgr","x-ray"
"4af0","x-ray"
"3bwq","x-ray"
"1imh","x-ray"
"2aya","nmr"
"3kzc","x-ray"
"3unv","x-ray"
"4uno","x-ray"
"6kdn","x-ray"
"3tje","x-ray"
"1x46","x-ray"
"6t8g","em"
"3zqc","x-ray"
"7nvi","x-ray"
"3lw8","x-ray"
"6rcn","x-ray"
"5ei9","x-ray"
"5c0a","x-ray"
"5rhx","x-ray"
"6rw4","em"
"5jbb","x-ray"
"3vu8","x-ray"
"7n7c","x-ray"
"288d","x-ray"
"205l","x-ray"
"6du6","x-ray"
"1d9l","nmr"
"3fm6","x-ray"
"4cam","x-ray"
"5igd","x-ray"
"1bga","x-ray"
"7q8t","x-ray"
"2qyf","x-ray"
"6vc6","x-ray"
"2zxd","x-ray"
"4ef6","x-ray"
"6skx","x-ray"
"7nk2","em"
"4ej3","x-ray"
"6ef4","x-ray"
"4e0w","x-ray"
"4zcv","x-ray"
"2d5z","x-ray"
"4eea","x-ray"
"4q9v","x-ray"
"4bmv","x-ray"
"2cld","x-ray"
"5xjs","x-ray"
"4uwd","x-ray"
"5hze","x-ray"
"3pkf","x-ray"
"1gjf","nmr"
"6xlw","x-ray"
"4zcg","x-ray"
"6a3g","x-ray"
"5ddm","x-ray"
"5ivd","x-ray"
"4lnr","x-ray"
"6uc3","x-ray"
"289d","x-ray"
"7voj","em"
"1f24","x-ray"
"6p3v","x-ray"
"4gl1","x-ray"
"3i52","x-ray"
"115l","x-ray"
"2muz","nmr"
"2x2a","x-ray"
"3gex","x-ray"
"3u4m","x-ray"
"2klr","nmr"
"3tcg","x-ray"
"6tyh","x-ray"
"1v2m","x-ray"
"5qi2","x-ray"
"7k55","em"
"7c05","x-ray"
"7nmi","x-ray"
"1sf9","x-ray"
"4tsp","x-ray"
"6oeu","em"
"3kbn","x-ray"
"3h3q","x-ray"
"6wwl","em"
"1nq3","x-ray"
"5z98","x-ray"
"2y8q","x-ray"
"3q4o","x-ray"
"3v0l","x-ray"
"6f4q","x-ray"
"3qfr","x-ray"
"5giw","nmr"
"7l4c","x-ray"
"1sje","x-ray"
"6ycw","x-ray"
"6lgb","x-ray"
"6uos","em"
"1fw0","x-ray"
"5nmh","x-ray"
"3f7e","x-ray"
"6b2t","x-ray"
"3tkt","x-ray"
"7mn2","nmr"
"5o6o","x-ray"
"6tw9","x-ray"
"5d5r","x-ray"
"1him","x-ray"
"3oab","x-ray"
"1qc0","x-ray"
"1w3p","x-ray"
"2o2w","x-ray"
"1ji1","x-ray"
"2zk7","x-ray"
"1zxj","x-ray"
"2itp","x-ray"
"1vhf","x-ray"
"5iz0","x-ray"
"2ga2","x-ray"
"7u11","em"
"4r9u","x-ray"
"1vzx","x-ray"
"1xcq","x-ray"
"5pim","x-ray"
"5bym","x-ray"
"7a0p","x-ray"
"2m7w","nmr"
"3q8j","x-ray"
"5q0i","x-ray"
"1iec","x-ray"
"5aze","x-ray"
"5v2p","x-ray"
"6qug","x-ray"
"3ta0","x-ray"
"4muc","x-ray"
"4k5o","x-ray"
"4x2r","x-ray"
"7nqr","x-ray"
"6d2p","x-ray"
"2odl","x-ray"
"2exu","x-ray"
"6m56","nmr"
"1fr0","nmr"
"6xma","x-ray"
"6r1l","x-ray"
"6wie","x-ray"
"3ojx","x-ray"
"3py9","x-ray"
"2mme","hybrid"
"5wu7","x-ray"
"4ww3","x-ray"
"7p6w","x-ray"
"3uog","x-ray"
"1hca","x-ray"
"1khk","x-ray"
"1kxz","x-ray"
"2vmg","x-ray"
"7d7o","x-ray"
"2dvb","x-ray"
"6j2h","x-ray"
"3kqa","x-ray"
"5la6","x-ray"
"6c8b","x-ray"
"6u46","nmr"
"2cvv","x-ray"
"5rpu","x-ray"
"1q88","x-ray"
"1fyi","nmr"
"2zco","x-ray"
"7vi7","x-ray"
"1vdc","x-ray"
"1j07","x-ray"
"6spx","x-ray"
"1mvj","nmr"
"2dxv","x-ray"
"3kh1","x-ray"
"5n7t","x-ray"
"1yl1","x-ray"
"1pir","nmr"
"3vqv","x-ray"
"2p0u","x-ray"
"6xd8","x-ray"
"6rgw","x-ray"
"6qda","x-ray"
"6ajc","x-ray"
"2hb2","x-ray"
"6g1j","x-ray"
"6aue","x-ray"
"5lgg","x-ray"
"1sgy","x-ray"
"3vfu","x-ray"
"6ox2","x-ray"
"6t3r","x-ray"
"5kx5","x-ray"
"1y5c","nmr"
"1ir8","x-ray"
"6yn5","em"
"6q7m","em"
"6iu3","x-ray"
"5m4p","x-ray"
"6trs","x-ray"
"4hw9","x-ray"
"4lss","x-ray"
"4av0","x-ray"
"6dj0","x-ray"
"3wrg","x-ray"
"4nxz","x-ray"
"1noh","x-ray"
"3lcl","x-ray"
"4y1k","x-ray"
"4bi2","x-ray"
"1yyw","x-ray"
"4dml","x-ray"
"2gd0","x-ray"
"6ve0","x-ray"
"6uuj","x-ray"
"5ohl","x-ray"
"3v9k","x-ray"
"2l7v","nmr"
"1cgi","x-ray"
"6wav","x-ray"
"5rpj","x-ray"
"4ygz","x-ray"
"4bi6","x-ray"
"4by0","x-ray"
"2i29","x-ray"
"2dgd","x-ray"
"5ufq","x-ray"
"3o02","x-ray"
"4kry","x-ray"
"4d2m","x-ray"
"7c0n","x-ray"
"4qp3","x-ray"
"5ywt","x-ray"
"3p0w","x-ray"
"1a6w","x-ray"
"5bka","x-ray"
"5dz0","x-ray"
"1sk9","x-ray"
"2izy","x-ray"
"3aod","x-ray"
"7vfl","x-ray"
"3sso","x-ray"
"5maq","x-ray"
"4dwx","x-ray"
"4pa1","x-ray"
"2bl8","x-ray"
"2h8q","x-ray"
"6u0i","x-ray"
"2d19","nmr"
"4u30","x-ray"
"4nc6","x-ray"
"6b51","x-ray"
"6sqf","x-ray"
"1pg7","x-ray"
"1l7r","x-ray"
"6vc3","x-ray"
"1pmd","x-ray"
"6vuz","x-ray"
"2wf3","x-ray"
"1g53","x-ray"
"4a4c","x-ray"
"6mfv","x-ray"
"6pog","x-ray"
"2i1u","x-ray"
"1dgz","nmr"
"6erk","x-ray"
"2lfo","nmr"
"6ze4","x-ray"
"3o59","x-ray"
"4kh7","x-ray"
"2few","nmr"
"2pw0","x-ray"
"6mu8","x-ray"
"5vo8","x-ray"
"2bxs","x-ray"
"5q88","x-ray"
"5o6n","x-ray"
"4rva","x-ray"
"2opo","x-ray"
"5act","x-ray"
"2b53","x-ray"
"6eqx","x-ray"
"5uje","x-ray"
"6re7","em"
"3kj1","x-ray"
"4lfq","x-ray"
"1fbl","x-ray"
"6pre","x-ray"
"2fu5","x-ray"
"4aws","x-ray"
"3sbt","x-ray"
"2fq6","x-ray"
"6mvs","x-ray"
"4zj1","x-ray"
"1q3g","x-ray"
"4lgz","x-ray"
"6akn","x-ray"
"2cwk","x-ray"
"6rok","x-ray"
"4mzc","x-ray"
"2ztv","x-ray"
"2knd","nmr"
"2h7z","x-ray"
"3tv9","x-ray"
"4m6k","x-ray"
"7ouc","x-ray"
"6xfu","x-ray"
"3hch","x-ray"
"4dnd","x-ray"
"4x9m","x-ray"
"2npq","x-ray"
"5dxg","x-ray"
"5om0","x-ray"
"4ng3","x-ray"
"5cmc","x-ray"
"7avf","x-ray"
"4q2f","x-ray"
"1wyv","x-ray"
"4jfe","x-ray"
"3vrb","x-ray"
"6vvs","x-ray"
"1ahy","x-ray"
"4c57","x-ray"
"5n93","x-ray"
"1e5g","nmr"
"3eu9","x-ray"
"4k4u","x-ray"
"1lg1","x-ray"
"6w3m","nmr"
"2c6b","nmr"
"1o6e","x-ray"
"6q03","x-ray"
"7e0p","x-ray"
"7no4","em"
"4eri","x-ray"
"7uno","x-ray"
"5p6w","x-ray"
"5qtx","x-ray"
"7emz","x-ray"
"2nlz","x-ray"
"5o96","x-ray"
"3fqd","x-ray"
"6dt7","x-ray"
"1s3j","x-ray"
"3mwq","x-ray"
"6ivj","x-ray"
"4w2h","x-ray"
"3qp1","x-ray"
"4gmw","x-ray"
"6quy","em"
"2ia7","x-ray"
"2ks0","nmr"
"7vk7","x-ray"
"1gez","x-ray"
"4l20","x-ray"
"5h3g","x-ray"
"1t7p","x-ray"
"2r4e","x-ray"
"7kse","x-ray"
"4h4d","x-ray"
"6op7","x-ray"
"4x8f","x-ray"
"1b93","x-ray"
"3od6","x-ray"
"6uyy","x-ray"
"1tpb","x-ray"
"4qko","x-ray"
"4irf","x-ray"
"2ylc","x-ray"
"1umc","x-ray"
"6u3f","x-ray"
"5tvu","x-ray"
"6ym2","x-ray"
"6c54","em"
"5ot4","x-ray"
"2vrn","x-ray"
"2idw","x-ray"
"3ec6","x-ray"
"1rex","x-ray"
"5a3a","x-ray"
"2e5x","x-ray"
"7b36","x-ray"
"4hjw","x-ray"
"6phx","x-ray"
"3r7q","x-ray"
"6zkh","em"
"5gm5","x-ray"
"1jxw","x-ray"
"4u75","x-ray"
"5cem","x-ray"
"3kku","x-ray"
"5b5s","x-ray"
"5wpp","x-ray"
"6m86","x-ray"
"6kh0","x-ray"
"2aps","x-ray"
"1k51","x-ray"
"6s5t","em"
"2vjr","x-ray"
"3r28","x-ray"
"6t1h","x-ray"
"5ukp","x-ray"
"6usw","x-ray"
"3oyf","x-ray"
"5nq1","x-ray"
"4j19","x-ray"
"1ezn","nmr"
"7eah","em"
"6wyi","x-ray"
"6oat","x-ray"
"5c48","x-ray"
"6pf8","x-ray"
"4q4s","x-ray"
"4yju","x-ray"
"3ug8","x-ray"
"1i7x","x-ray"
"2bhk","x-ray"
"3i0g","x-ray"
"5ghf","x-ray"
"6ahh","x-ray"
"4d87","x-ray"
"1w80","x-ray"
"4lm3","x-ray"
"5elx","x-ray"
"1m11","em"
"3ra8","x-ray"
"4ay9","x-ray"
"1ci9","x-ray"
"7oal","x-ray"
"6toc","x-ray"
"6t0s","em"
"1q0q","x-ray"
"3utn","x-ray"
"4x3e","x-ray"
"5diq","x-ray"
"5ea0","x-ray"
"1nm1","x-ray"
"2n7f","nmr"
"3p40","x-ray"
"1wrk","x-ray"
"7c8t","x-ray"
"3bxz","x-ray"
"5yt7","x-ray"
"4l98","x-ray"
"5oq5","x-ray"
"7a8m","x-ray"
"1c48","x-ray"
"2fdi","x-ray"
"6cwb","x-ray"
"3tnq","x-ray"
"1b53","nmr"
"5kq4","x-ray"
"3cs4","x-ray"
"6xkw","em"
"4zwi","x-ray"
"6bme","x-ray"
"6gyg","x-ray"
"1atg","x-ray"
"2cya","x-ray"
"5jjx","x-ray"
"7p1a","x-ray"
"6qw3","x-ray"
"6lg4","x-ray"
"6w1y","em"
"1iuu","x-ray"
"5kj8","x-ray"
"1dou","x-ray"
"5rg5","x-ray"
"1z4v","x-ray"
"5qb6","x-ray"
"5qka","x-ray"
"4blo","x-ray"
"6slh","x-ray"
"7e6z","x-ray"
"6m8f","x-ray"
"3pew","x-ray"
"7oax","x-ray"
"6flk","x-ray"
"3cg0","x-ray"
"2kpr","nmr"
"4nat","x-ray"
"6vo1","em"
"5elr","x-ray"
"4qwl","x-ray"
"3c9w","x-ray"
"3kaq","x-ray"
"3noe","x-ray"
"4r1c","x-ray"
"7bsj","x-ray"
"1xci","nmr"
"6ui1","x-ray"
"3lhw","x-ray"
"6hym","x-ray"
"2z8d","x-ray"
"5pz6","x-ray"
"4fww","x-ray"
"5v3w","x-ray"
"4ic2","x-ray"
"4asv","nmr"
"1n1b","x-ray"
"7m9s","x-ray"
"1vgh","nmr"
"1b2u","x-ray"
"5mhm","x-ray"
"3ci2","nmr"
"5xuq","x-ray"
"5k5i","x-ray"
"1rxo","x-ray"
"2ax9","x-ray"
"1iku","nmr"
"3bz4","x-ray"
"3mw1","x-ray"
"4a8h","x-ray"
"3c2s","x-ray"
"4riu","x-ray"
"2a7u","nmr"
"4a7d","x-ray"
"2qnf","x-ray"
"6j07","x-ray"
"5oqi","x-ray"
"3mg2","x-ray"
"4ljs","x-ray"
"4mvh","x-ray"
"7q4g","x-ray"
"5bms","x-ray"
"3wue","x-ray"
"2ec7","nmr"
"6pjq","x-ray"
"5b5i","x-ray"
"6gux","x-ray"
"3h8x","x-ray"
"1d76","x-ray"
"1lqd","x-ray"
"3s3x","x-ray"
"6fta","x-ray"
"7siq","x-ray"
"4wrs","x-ray"
"4m4i","x-ray"
"6wu8","x-ray"
"4ug2","x-ray"
"1sxj","x-ray"
"5kxo","x-ray"
"4ck2","x-ray"
"7u0z","em"
"1k22","x-ray"
"4ev9","x-ray"
"4v9l","x-ray"
"2ogm","x-ray"
"4qr6","x-ray"
"6lrr","em"
"6mxv","x-ray"
"1ezp","nmr"
"4tpp","x-ray"
"2jld","x-ray"
"6wzn","x-ray"
"3dcg","x-ray"
"1n97","x-ray"
"6j1b","x-ray"
"2hav","x-ray"
"7jov","x-ray"
"5uft","x-ray"
"3r6s","x-ray"
"6o55","x-ray"
"4iue","x-ray"
"6d9x","x-ray"
"5rh3","x-ray"
"6twe","nmr"
"6cko","x-ray"
"6q2f","x-ray"
"6v8d","x-ray"
"1uhf","nmr"
"3eh0","x-ray"
"4rsn","x-ray"
"6un9","x-ray"
"3e88","x-ray"
"1vsr","x-ray"
"7rb5","x-ray"
"1f35","x-ray"
"2bjn","x-ray"
"6h08","x-ray"
"3nvc","x-ray"
"5moo","hybrid"
"1ehn","x-ray"
"7l14","x-ray"
"5elp","x-ray"
"2jtc","nmr"
"1ev7","x-ray"
"6wm2","em"
"4iyr","x-ray"
"3n3y","x-ray"
"5szc","x-ray"
"2l6b","nmr"
"3i1k","x-ray"
"1q41","x-ray"
"4h8x","x-ray"
"4r4m","x-ray"
"3g42","x-ray"
"2kt7","nmr"
"2dh2","x-ray"
"3mtw","x-ray"
"4waa","x-ray"
"1ocv","x-ray"
